# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 141
# Split No.: 1
# Time: 20250130T171033
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
30T171033525;1;6e0;0000000000000000
30T171033525;1;5e0;0000000001000000
30T171033526;0;65d;0000000000000000
30T171033526;0;65e;0000000000000000
30T171033535;1;6e0;0000000000000000
30T171033535;1;5e0;0000000001000000
30T171033536;0;65d;0000000000000000
30T171033536;0;65e;0000000000000000
30T171033544;0;752;0000000000000000
30T171033545;1;6e0;0000000000000000
30T171033545;1;5e0;0000000001000000
30T171033546;0;65d;0000000000000000
30T171033547;0;65e;0000000000000000
30T171033555;1;6e0;0000000000000000
30T171033555;1;5e0;0000000001000000
30T171033556;0;65d;0000000000000000
30T171033556;0;65e;0000000000000000
30T171033565;0;751;0000000201000000
30T171033565;1;6e0;0000000000000000
30T171033565;1;5e0;0000000001000000
30T171033566;0;65d;0000000000000000
30T171033566;0;65e;0000000000000000
30T171033575;1;6e0;0000000000000000
30T171033575;1;5e0;0000000001000000
30T171033576;0;65d;0000000000000000
30T171033576;0;65e;0000000000000000
30T171033577;0;752;0000000000000000
30T171033585;1;6e0;0000000000000000
30T171033585;1;5e0;0000000001000000
30T171033586;0;65d;0000000000000000
30T171033586;0;65e;0000000000000000
30T171033595;1;6e0;0000000000000000
30T171033595;1;5e0;0000000001000000
30T171033595;0;65d;0000000000000000
30T171033596;0;65e;0000000000000000
30T171033605;0;65d;0000000000000000
30T171033605;1;6e0;0000000000000000
30T171033605;1;5e0;0000000001000000
30T171033605;0;65e;0000000000000000
30T171033610;0;752;0000000000000000
30T171033615;0;65d;0000000000000000
30T171033615;0;65e;0000000000000000
30T171033615;0;751;0000000201000000
30T171033615;1;6e0;0000000000000000
30T171033616;1;5e0;0000000001000000
30T171033624;0;65d;0000000000000000
30T171033625;1;6e0;0000000000000000
30T171033625;1;5e0;0000000001000000
30T171033625;0;65e;0000000000000000
30T171033634;0;65d;0000000000000000
30T171033635;1;6e0;0000000000000000
30T171033635;1;5e0;0000000001000000
30T171033635;0;65e;0000000000000000
30T171033642;0;752;0000000000000000
30T171033644;0;65d;0000000000000000
30T171033645;1;6e0;0000000000000000
30T171033645;1;5e0;0000000001000000
30T171033645;0;65e;0000000000000000
30T171033654;1;6e0;0000000000000000
30T171033655;1;5e0;0000000001000000
30T171033655;0;65d;0000000000000000
30T171033656;0;65e;0000000000000000
30T171033664;0;65d;0000000000000000
30T171033664;0;65e;0000000000000000
30T171033664;0;751;0000000201000001
30T171033665;1;6e0;0000000000000000
